lon lat time count friction misfit shape s1a s1p s2a s2p s3a s3p
144.0 43.5 2008.0 31 0.75 36.173153 0.7601189 123.90787 5.3297653 217.90662 36.777756 26.871582 52.708115
141.0 44.5 2008.0 51 0.8 46.078136 0.82692873 277.94968 14.278641 8.556 2.381012 107.81882 75.51582
142.0 44.5 2008.0 67 0.8 41.603123 0.8831712 280.61047 18.050674 187.05374 10.777626 67.69226 68.78233
143.0 44.5 2008.0 24 0.6 37.91746 0.5279408 284.2785 12.552116 192.2844 8.882538 67.88196 74.53816
142.0 45.5 2008.0 32 0.75 52.179626 0.74275297 280.29672 25.024162 187.66219 5.623459 85.87491 64.26544
129.0 31.5 2009.0 84 0.3 54.375023 0.12820755 250.67538 13.786041 60.485046 76.0016 160.09058 2.3820496
130.0 31.5 2009.0 480 0.4 33.016865 0.2645934 62.187836 9.480896 261.2165 79.98189 152.724 3.2069702
131.0 31.5 2009.0 655 0.7 34.931953 0.43144128 69.160065 16.16896 274.39856 72.22737 161.25354 7.180893
132.0 31.5 2009.0 284 0.65 42.626728 0.3246692 83.55032 8.910927 329.78854 68.73782 176.6698 19.140678
133.0 31.5 2009.0 25 0.8 46.791637 0.76349825 122.28577 4.6237564 31.86322 5.210266 253.66983 83.02542
129.0 32.5 2009.0 174 0.35 51.13369 0.15597154 79.77991 3.313591 328.4883 80.9406 170.27112 8.42215
130.0 32.5 2009.0 1812 0.5 32.12006 0.19130908 261.5812 19.159187 66.46997 70.20706 169.91516 4.783272
131.0 32.5 2009.0 2181 0.5 32.79414 0.23132041 262.2066 6.9539185 41.526245 80.863235 171.48474 5.897255
132.0 32.5 2009.0 622 0.7 37.889214 0.57278264 84.794586 5.992836 328.71317 76.57054 176.07025 11.973427
133.0 32.5 2009.0 93 0.75 36.718014 0.8708988 89.55487 2.7001038 358.8311 14.994675 189.51819 74.75285
134.0 32.5 2009.0 28 0.5 21.954767 0.6115044 88.80261 3.3129501 178.93945 2.3623123 304.36942 85.929504
129.0 33.5 2009.0 97 0.25 44.530697 0.091325514 81.13623 18.380455 305.00922 65.25342 176.59674 15.98101
130.0 33.5 2009.0 1565 0.45 30.263266 0.22353937 266.40204 28.791466 77.51227 60.915314 174.32416 3.7746582
131.0 33.5 2009.0 1988 0.5 31.836084 0.31279927 265.61182 15.583252 70.234344 73.86774 174.4748 4.0698395
132.0 33.5 2009.0 738 0.8 31.325659 0.7909907 266.1772 2.222458 18.038147 84.049835 175.9624 5.516739
133.0 33.5 2009.0 343 0.8 36.81176 0.920669 91.70093 0.17984772 349.60565 89.141556 181.70358 0.83922577
134.0 33.5 2009.0 236 0.8 35.34369 0.9848857 99.153076 3.7550888 8.828796 4.92865 226.30875 83.79822
135.0 33.5 2009.0 639 0.7 29.36742 0.81333905 97.37189 4.664131 187.37315 0.015113831 277.55847 85.33586
136.0 33.5 2009.0 569 0.65 32.004948 0.7727041 95.58792 5.627266 5.5155334 0.73472595 268.1012 84.32463
137.0 33.5 2009.0 45 0.8 48.85133 0.8862754 71.954834 12.119926 331.08914 41.277237 174.88904 46.18686
130.0 34.5 2009.0 219 0.8 31.650837 0.68889105 256.7964 15.8808365 92.717896 73.51941 348.02002 4.2927017
131.0 34.5 2009.0 521 0.8 30.214773 0.8214483 262.30023 8.333916 106.6691 80.864105 352.84543 3.7165604
132.0 34.5 2009.0 928 0.8 28.02783 0.8594685 272.75043 3.3267212 154.52277 82.993576 3.1098022 6.1592636
133.0 34.5 2009.0 1224 0.8 30.70638 0.8209613 283.10825 1.6405182 170.18622 85.7943 13.219299 3.8714676
134.0 34.5 2009.0 1103 0.8 32.187996 0.91087836 282.54865 0.36089325 16.096832 84.18849 192.51198 5.8001785
135.0 34.5 2009.0 1452 0.7 28.584259 0.9047323 94.11716 1.0072403 184.22482 6.100319 354.77817 83.81648
136.0 34.5 2009.0 1735 0.6 31.560219 0.80602944 90.77957 0.7821121 0.77285767 0.49337006 238.53119 89.07527
137.0 34.5 2009.0 1877 0.8 31.900814 0.91658354 96.02893 5.722206 188.43143 22.701012 352.6988 66.509674
138.0 34.5 2009.0 1701 0.7 39.961372 0.95811564 108.8519 13.231255 203.56897 19.277405 346.4412 66.3141
139.0 34.5 2009.0 1109 0.8 46.07567 0.8967332 129.37814 22.317726 35.729736 8.811783 285.5245 65.82802
140.0 34.5 2009.0 547 0.8 41.381577 0.9804657 127.9971 25.843292 34.017548 8.154129 287.88882 62.715683
141.0 34.5 2009.0 45 0.8 31.624376 0.6824529 182.22488 27.809937 83.9353 15.28772 328.42712 57.595596
131.0 35.5 2009.0 74 0.75 24.341228 0.8066073 95.82547 2.3909302 188.59552 49.17354 3.765442 40.725647
132.0 35.5 2009.0 533 0.75 24.19147 0.84707445 277.8319 1.2361984 182.42332 77.104996 8.113586 12.833572
133.0 35.5 2009.0 957 0.8 27.805607 0.7938937 285.72668 1.40625 176.896 85.650696 15.827881 4.1148605
134.0 35.5 2009.0 937 0.8 31.704523 0.89360726 283.19455 1.7042236 72.90405 88.026505 193.16495 0.9948044
135.0 35.5 2009.0 934 0.8 28.001879 0.9440588 272.62805 1.1310959 2.8584595 11.5119095 177.09314 78.43112
136.0 35.5 2009.0 1676 0.65 31.675037 0.86343986 270.33707 2.3471603 0.3403015 0.07889557 92.264404 87.65155
